/*
PREFACE:  
Copyright 2010 Beth Randall
Date:  Fri Jan 14 13:27:46 CET 2022

command file:     verblex_perfect.q
output file:      verblex_perfect.out

Lexicon:  
*/

/*  ~A~  */
grauntyd 1: [1 VBN] 
grawntyd 2: [2 VBN] 
gre+g+g+tedd 1: [1 VBN] 
greuede 1: [1 VBN] 
greved 3: [3 VBN] 
grevyd 2: [2 VBN] 
groped 1: [1 VBN] 
growe 2: [2 VBN] 
gult 1: [1 VBN] 
gydyde 1: [1 VBN] 
gyfen 3: [3 VBN] 
gyffen 5: [5 VBN] 
gyffene 1: [1 VBN] 
gylt 1: [1 VBN] 
gyn 1: [1 VBN] 
gyuen 2: [2 VBN] 
/*  ~H~  */
habedyn 1: [1 VBN] 
had $had 46: [46 HVN] 
hadde 3: [3 HVN] 
hade 16: [16 HVN] 
haldenn 1: [1 VBN] 
halewid 2: [2 VBN] 
halowid 1: [1 VBN] 
hangid 1: [1 VBN] 
hangyn 1: [1 VBN] 
happed 1: [1 VBN] 
harde 2: [2 VBN] 
hatched 1: [1 VBN] 
hated 2: [2 VBN] 
he+ged 1: [1 VBN] 
hehaten 1: [1 VBN] 
heled 1: [1 VBN] 
helede 1: [1 VBN] 
herbert 1: [1 VBN] 
herd 68: [68 VBN] 
herde 35: [35 VBN] 
