/*
PREFACE:  
Copyright 2010 Beth Randall
Date:  Thu Jan 13 14:05:52 CET 2022

command file:     verblex_past.q
output file:      verblex_past.out

Lexicon:  
*/

/*  ~A~  */
$+ateowde +ateowde 2: [2 VBD] 
behelde 17: [17 VBD] 
behestyd 3: [3 VBD] 
behet 6: [6 VBD] 
behete 2: [2 VBD] 
behette 1: [1 VBD] 
behiet 2: [2 VBD] 
behighte 4: [4 VBD] 
behofde 1: [1 VBD] 
behofed 1: [1 VBD] 
behoued 2: [2 VBD] 
behouede 2: [2 VBD] 
behoufede 1: [1 VBD] 
behoved 1: [1 VBD] 
behovede 1: [1 VBD] 
behovyd 1: [1 VBD] 
behylde 8: [8 VBD] 
behyte 1: [1 VBD] 
bei+at 1: [1 VBD] 
beide 3: [3 VBD] 
beiet 1: [1 VBD] 
bel+af 1: [1 VBD] 
belaf 1: [1 VBD] 
belamp 1: [1 VBD] 
beleaf 1: [1 VBD] 
beleeued 1: [1 VBD] 
beleeve 1: [1 VBD] 
belefte 1: [1 VBD] 
beleuede 1: [1 VBD] 
beleuedon 1: [1 VBD] 
beleuid 1: [1 VBD] 
beleuyd 7: [7 VBD] 
beleved 2: [2 VBD] 
belewy+g 1: [1 VBD] 
belewyt 1: [1 VBD] 
beliefde 1: [1 VBD] 
bem+ande 1: [1 VBD] 
bemande 1: [1 VBD] 
ben $ben 27: [26 BED] [1 VBD] 
benam 2: [2 VBD] 
benamme 1: [1 VBD] 
bent 2: [2 VBD] 
beode 1: [1 VBD] 
beot $beot 3: [1 VBD22] [2 VBD] 
beote 1: [1 VBD] 
beoten 2: [2 VBD] 
beqwathe 3: [3 VBD] 
ber 7: [6 VBD] [1 VBD22] 
ber+afode 1: [1 VBD] 
berde 1: [1 VBD] 
bere 6: [6 VBD] 
bereauede 1: [1 VBD] 
beren 10: [10 VBD] 
berryd 1: [1 VBD] 
berryde 1: [1 VBD] 
berryid 1: [1 VBD] 
beryd 1: [1 VBD] 
bes+at 4: [4 VBD] 
bes+atte 1: [1 VBD] 
bescadewode 1: [1 VBD] 
besceawode 1: [1 VBD] 
beseche 1: [1 VBD] 
beseged 4: [4 VBD] 
beseget 1: [1 VBD] 
besegid 11: [11 VBD] 
besemed 1: [1 VBD] 
besett 1: [1 VBD] 
besijd 1: [1 VBD] 
besohte 3: [3 VBD] 
besohten 3: [3 VBD] 
besought 6: [6 VBD] 
besoughte 1: [1 VBD] 
besouhte 1: [1 VBD] 
bessyd 1: [1 VBD] 
bestrode 1: [1 VBD] 
bestuddede 1: [1 VBD] 
beswanc 1: [1 VBD] 
beswoc 1: [1 VBD] 
besyde 1: [1 VBD] 
bet 5: [5 VBD] 
bet+ahte 1: [1 VBD] 
betahte 4: [4 VBD] 
betaught 1: [1 VBD] 
betaughte 3: [3 VBD] 
bete 10: [10 VBD] 
beteahte 1: [1 VBD] 
beten 3: [3 VBD] 
bethought 3: [3 VBD] 
bethowt 1: [1 VBD] 
betoke 6: [6 VBD] 
betokend 1: [1 VBD] 
betokenyd 1: [1 VBD] 
betokned 2: [2 VBD] 
betook 2: [2 VBD] 
betrayde 2: [2 VBD] 
betrayed 1: [1 VBD] 
bett 1: [1 VBD] 
bette 3: [3 VBD] 
betten 4: [4 VBD] 
betyn 2: [2 VBD] 
beuall 2: [2 VBD] 
beulo+ge 2: [2 VBD] 
bewed 1: [1 VBD] 
beweddede 1: [1 VBD] 
beweop 2: [2 VBD] 
bewop 1: [1 VBD] 
bewreah 1: [1 VBD] 
bi 15: [15 VBD21] 
bi+dohte 1: [1 VBD] 
bi+dohten 1: [1 VBD] 
bi+gat 1: [1 VBD] 
bi+gate 1: [1 VBD] 
bi+gatt 2: [2 VBD] 
bi+get 3: [3 VBD] 
bi+tochte 2: [2 VBD] 
bi+tou+gt 3: [3 VBD] 
bi-+get 1: [1 VBD] 
bi-+toht 1: [1 VBD] 
bi-+tou+gt 4: [4 VBD] 
bi-+tou+gten 1: [1 VBD] 
bi-com 4: [4 VBD] 
bi-eoden 1: [1 VBD] 
bi-felle 1: [1 VBD] 
