/*
PREFACE:  
Copyright 2010 Beth Randall
Date:  Thu Jan 13 15:41:28 CET 2022

command file:     verblex_present.q
output file:      verblex_present.out

Lexicon:  
*/

/*  ~A~  */
betokne+te 1: [1 VBP] 
betokned 3: [3 VBP] 
beton 1: [1 VBP] 
betooknen 1: [1 VBP] 
bette 2: [1 VBP22] [1 VBP] 
betyde 1: [1 VBP] 
betyden 1: [1 VBP] 
betydeth 2: [2 VBP] 
betyth 2: [2 VBP] 
beule+t 1: [1 VBP] 
beuly+gt 1: [1 VBP] 
bevly+g+t 1: [1 VBP] 
bewep+t 1: [1 VBP] 
bewere+d 1: [1 VBP] 
beyeth 1: [1 VBP] 
bezeche 1: [1 VBP] 
bezeche+t 4: [4 VBP] 
bezechi+t 2: [2 VBP] 
bezek+t 1: [1 VBP] 
bi Bi 45: [35 VBP21] [10 BEP] 
bi+d $bi+d 115: [114 BEP] [1 VBP] 
bi+denche+d 3: [3 VBP] 
bi+gelp+d 1: [1 VBP] 
$bi+geote+d Bi+geote+d 2: [2 VBP] 
bi+get 2: [2 VBP] 
bi+gete+d 1: [1 VBP] 
bi+geted 1: [1 VBP] 
bi+tench 1: [1 VBP] 
bi+tench+t 1: [1 VBP] 
bi+tenche+d 2: [2 VBP] 
bi+teng+t 2: [2 VBP] 
bi-+get 1: [1 VBP] 
bi-+tenche+d 1: [1 VBP] 
bi-+teng+d 1: [1 VBP] 
