Text_name;sentence;TAM;Origin;Word_length;Transitivity
CMAELR3-M23;48.688;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;48.688;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;48.689;%spl_present;%romance;2%;%intransitive
CMAELR3-M23;48.694;%spl_present;%germanic;%1half;%transitive
CMAELR3-M23;48.695;%spl_present;%romance;1%;%transitive
CMAELR3-M23;48.697;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;48.697;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;48.699;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;48.7;%spl_present;%romance;1%;%prep_intransitive
CMAELR3-M23;48.706;%spl_present;%romance;1%;%transitive
CMAELR3-M23;48.71;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;49.727;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;49.732;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;49.733;%spl_present;%germanic;2%;%transitive
CMAELR3-M23;49.74;%spl_present;%romance;2%;%transitive
CMAELR3-M23;49.741;%spl_present;%germanic;2%;%transitive
CMAELR3-M23;50.753;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;50.754;%spl_present;%romance;1%;%transitive
CMAELR3-M23;50.77;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;50.779;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;50.786;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;50.786;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;50.787;%spl_present;%romance;2%;%transitive
CMAELR3-M23;51.788;%spl_present;%romance;1%;%transitive
CMAELR3-M23;51.796;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;51.798;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;51.798;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;51.805;%spl_present;%germanic;2%;%transitive
CMAELR3-M23;51.806;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;51.811;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;52.813;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;52.813;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;52.816;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;52.824;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;52.831;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;52.833;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;52.84;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;53.853;%spl_present;%romance;1%;%transitive
CMAELR3-M23;53.858;%spl_present;%blended;1%;%transitive
CMAELR3-M23;53.867;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;53.868;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;53.868;%spl_present;%romance;2%;%intransitive
CMAELR3-M23;53.869;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;53.87;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;53.871;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;53.871;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;54.873;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;54.874;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;54.875;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;54.876;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;54.877;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;54.877;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;54.878;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;54.878;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;54.878;%spl_present;%romance;2%;%prep_intransitive
CMAELR3-M23;54.88;%spl_present;%germanic;2%;%prep_intransitive
CMAELR3-M23;54.881;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;54.882;%spl_present;%germanic;2%;%transitive
CMAELR3-M23;54.89;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;54.89;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;54.89;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;55.901;%spl_present;%germanic;1%;%prep_intransitive
CMAELR3-M23;55.903;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;55.908;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;55.909;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;55.91;%spl_present;%germanic;1%;%transitive
CMAELR3-M23;55.92;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;55.92;%spl_present;%germanic;1%;%intransitive
CMAELR3-M23;55.921;%spl_present;%germanic;1%;%transitive
